Depth (mbsf)	Density(g/cc)	Vp(m/s)	Vs(m/s)
495.60	1.7250	1885.79	584.23
495.45	1.6810	1882.18	584.22
495.30	1.6630	1837.47	581.08
495.15	1.6720	1834.82	569.62
495.00	1.6880	1834.49	572.18
494.85	1.7100	1835.15	574.38
494.70	1.7230	1854.47	582.78
494.55	1.7140	1873.96	582.19
494.40	1.6950	1873.62	582.40
494.25	1.6930	1869.48	574.00
494.10	1.6880	1869.59	574.67
493.95	1.6900	1870.74	579.12
493.80	1.6920	1850.30	561.46
493.65	1.6830	1848.62	557.45
493.50	1.6700	1848.95	561.85
493.35	1.6540	1848.39	556.75
493.20	1.6580	1848.06	572.37
493.05	1.6700	1849.07	572.22
492.90	1.6760	1847.94	568.90
492.75	1.6810	1848.95	589.73
492.60	1.6820	1848.84	589.02
492.45	1.6850	1846.71	584.30
492.30	1.6870	1847.27	595.39
492.15	1.6990	1854.47	600.70
492.00	1.7130	1856.05	601.37
491.85	1.7230	1858.76	601.43
491.70	1.7240	1862.85	600.11
491.55	1.7180	1864.56	599.39
491.40	1.7150	1865.13	599.59
491.25	1.7180	1864.22	591.02
491.10	1.7230	1871.43	596.63
490.95	1.7170	1876.27	603.16
490.80	1.7080	1876.39	602.88
490.65	1.7130	1877.31	594.66
490.50	1.7340	1879.05	588.84
490.35	1.7510	1879.63	596.64
490.20	1.7480	1879.39	596.07
490.05	1.7350	1879.39	589.82
489.90	1.7300	1879.16	590.08
489.75	1.7340	1879.16	586.03
489.60	1.7350	1879.51	581.57
489.45	1.7220	1879.39	581.10
489.30	1.7000	1865.48	574.44
489.15	1.6800	1847.72	566.03
489.00	1.6720	1856.61	566.58
488.85	1.6750	1859.90	577.61
488.70	1.6830	1852.55	594.36
488.55	1.6900	1858.99	586.45
488.40	1.6980	1855.59	578.54
488.25	1.7130	1878.47	601.96
488.10	1.7320	1880.09	622.13
487.95	1.7460	1880.09	619.80
487.80	1.7520	1880.78	619.49
487.65	1.7580	1884.62	620.02
487.50	1.7710	1887.77	623.70
487.35	1.7800	1891.76	634.51
487.20	1.7760	1891.76	630.35
487.05	1.7570	1891.64	625.13
486.90	1.7370	1890.58	616.80
486.75	1.7300	1888.94	615.36
486.60	1.7290	1885.67	609.66
486.45	1.7370	1885.67	611.81
486.30	1.7290	1885.21	612.17
486.15	1.7310	1882.64	613.56
486.00	1.7280	1880.55	613.91
485.85	1.7280	1880.67	615.05
485.70	1.7370	1880.44	623.01
485.55	1.7470	1880.44	631.16
485.40	1.7530	1880.67	612.96
485.25	1.7400	1881.37	612.56
485.10	1.7230	1881.60	613.56
484.95	1.7120	1879.28	611.27
484.80	1.7110	1877.19	610.27
484.65	1.7130	1877.43	610.98
484.50	1.7160	1878.47	611.25
484.35	1.7260	1879.51	613.06
484.20	1.7390	1883.34	613.86
484.05	1.7480	1883.46	613.66
483.90	1.7440	1883.81	614.07
483.75	1.7380	1882.76	613.63
483.60	1.7360	1887.42	633.31
483.45	1.7450	1888.71	623.78
483.30	1.7500	1888.59	620.21
483.15	1.7530	1888.48	620.08
483.00	1.7510	1888.94	619.49
482.85	1.7470	1889.06	619.40
482.70	1.7380	1888.36	623.17
482.55	1.7390	1911.21	626.23
482.40	1.7500	1920.60	627.10
482.25	1.7610	1920.60	627.41
482.10	1.7660	1921.57	631.45
481.95	1.7670	1926.80	637.66
481.80	1.7690	1929.24	639.87
481.65	1.7740	1935.73	652.33
481.50	1.7880	1941.90	657.92
481.35	1.8060	1943.38	656.36
481.20	1.8230	1969.50	666.04
481.05	1.8270	1989.95	674.84
480.90	1.8130	1990.47	676.00
480.75	1.7930	1987.22	665.88
480.60	1.7870	1965.94	656.70
480.45	1.7980	1948.85	656.39
480.30	1.8140	1948.23	656.56
480.15	1.8110	1945.49	645.56
480.00	1.7870	1943.26	633.47
479.85	1.7630	1943.63	633.90
479.70	1.7530	1937.21	628.51
479.55	1.7610	1928.14	619.47
479.40	1.7730	1927.89	617.24
479.25	1.7790	1927.53	616.54
479.10	1.7770	1929.97	614.81
478.95	1.7700	1934.50	614.64
478.80	1.7750	1937.58	616.23
478.65	1.7900	1938.19	617.24
478.50	1.8070	1941.65	620.69
478.35	1.8130	1944.99	628.14
478.20	1.8080	1944.37	624.95
478.05	1.7970	1944.13	620.48
477.90	1.7800	1937.70	607.10
477.75	1.7700	1927.41	606.24
477.60	1.7640	1928.99	605.76
477.45	1.7690	1920.73	602.22
477.30	1.7710	1869.14	590.34
477.15	1.7580	1868.22	590.01
477.00	1.7330	1859.56	586.46
476.85	1.7140	1854.01	579.83
476.70	1.7160	1872.70	584.23
476.55	1.7250	1872.47	587.67
476.40	1.7390	1875.35	598.59
476.25	1.7390	1887.07	601.74
476.10	1.7350	1886.96	601.48
475.95	1.7330	1882.06	600.47
475.80	1.7290	1874.77	592.47
475.65	1.7140	1875.23	589.43
475.50	1.6920	1872.24	567.74
475.35	1.6680	1865.93	567.13
475.20	1.6610	1868.10	567.50
475.05	1.6750	1869.25	570.98
474.90	1.6970	1875.92	597.21
474.75	1.7180	1862.28	593.46
474.60	1.7320	1874.08	599.25
474.45	1.7540	1884.39	624.63
474.30	1.7680	1882.53	631.74
474.15	1.7780	1878.24	636.37
474.00	1.7760	1920.73	652.48
473.85	1.7810	1934.87	656.94
473.70	1.7850	1931.56	639.57
473.55	1.7950	1933.89	636.41
473.40	1.8010	1934.75	625.90
473.25	1.7990	1935.48	626.86
473.10	1.7860	1935.36	614.89
472.95	1.7670	1905.00	604.91
472.80	1.7490	1891.17	600.51
472.65	1.7300	1886.96	599.22
472.50	1.7220	1879.16	598.56
472.35	1.7260	1875.81	600.56
472.20	1.7400	1875.58	601.94
472.05	1.7510	1876.85	604.97
471.90	1.7590	1879.74	616.08
471.75	1.7660	1884.27	622.41
471.60	1.7720	1886.96	622.54
471.45	1.7800	1887.07	622.52
471.30	1.7870	1887.54	621.06
471.15	1.7940	1903.93	616.12
471.00	1.7940	1918.67	612.82
470.85	1.7880	1918.55	612.79
470.70	1.7800	1916.50	612.42
470.55	1.7730	1905.00	608.67
470.40	1.7720	1904.76	608.49
470.25	1.7690	1919.64	613.42
470.10	1.7650	1920.48	611.86
469.95	1.7730	1925.21	613.53
469.80	1.7890	1936.84	624.16
469.65	1.8010	1939.18	632.85
469.50	1.8030	1939.18	632.73
469.35	1.7970	1941.03	628.86
469.20	1.7950	1944.62	620.52
469.05	1.7960	1944.50	613.16
468.90	1.7870	1943.13	600.39
468.75	1.7740	1940.78	599.14
468.60	1.7620	1924.49	595.53
468.45	1.7550	1881.83	586.91
468.30	1.7620	1881.71	586.83
468.15	1.7800	1889.41	589.01
468.00	1.8010	1919.15	598.53
467.85	1.8170	1921.45	598.79
467.70	1.8220	1921.57	598.41
467.55	1.8140	1921.57	595.48
467.40	1.8050	1925.70	595.77
467.25	1.7980	1926.07	596.63
467.10	1.7970	1926.43	597.12
466.95	1.8010	1927.77	595.22
466.80	1.8080	1928.50	597.93
466.65	1.8120	1931.44	603.47
466.50	1.8200	1931.80	607.75
466.35	1.8410	1933.15	608.91
466.20	1.8610	1939.18	608.47
466.05	1.8870	1947.35	615.53
465.90	1.8950	1947.73	617.08
465.75	1.9050	1947.98	615.81
465.60	1.8990	1955.98	615.38
465.45	1.8710	1947.60	615.53
465.30	1.8400	1946.24	622.96
465.15	1.8290	1958.49	619.10
465.00	1.8380	1944.87	609.84
464.85	1.8510	1942.39	610.96
464.70	1.8550	1942.39	611.57
464.55	1.8420	1943.01	609.02
464.40	1.8180	1885.09	599.75
464.25	1.8010	1871.78	596.78
464.10	1.7920	1871.66	596.09
463.95	1.7820	1864.22	592.05
463.80	1.7720	1859.67	585.80
463.65	1.7610	1858.88	583.74
463.50	1.7670	1857.40	582.83
463.35	1.7830	1851.99	580.43
463.20	1.7910	1850.53	581.26
463.05	1.7840	1853.00	583.49
462.90	1.7660	1853.90	583.38
462.75	1.7580	1884.39	580.35
462.60	1.7610	1903.22	588.20
462.45	1.7760	1901.91	593.40
462.30	1.7980	1913.25	592.81
462.15	1.8230	1934.99	619.56
462.00	1.8400	1944.62	641.56
461.85	1.8400	1944.62	635.89
461.70	1.8260	1948.10	632.18
461.55	1.8080	1948.23	631.93
461.40	1.8020	1945.37	624.45
461.25	1.8070	1944.99	620.16
461.10	1.8150	1944.99	615.15
460.95	1.8160	1947.60	611.26
460.80	1.8090	1951.59	616.03
460.65	1.7960	1952.47	616.59
460.50	1.7840	1948.23	622.00
460.35	1.7820	1944.13	630.03
460.20	1.7910	1947.85	632.50
460.05	1.8070	1951.09	633.47
459.90	1.8330	1964.93	640.26
459.75	1.8730	1978.32	652.59
459.60	1.9150	1976.14	657.35
459.45	1.9310	1983.21	656.23
459.30	1.9150	1980.12	650.02
459.15	1.8880	1989.69	664.70
459.00	1.8780	1972.43	652.90
458.85	1.8760	1949.35	618.92
458.70	1.8600	1955.73	620.43
458.55	1.8270	1966.32	631.68
458.40	1.8010	1946.36	608.26
458.25	1.7760	1904.29	599.27
458.10	1.7640	1904.40	600.79
457.95	1.7600	1909.54	607.15
457.80	1.7890	1904.76	596.91
457.65	1.8160	1905.36	592.39
457.50	1.8280	1902.74	591.43
457.35	1.8080	1903.10	592.92
457.20	1.7900	1907.62	595.93
457.05	1.7730	1907.50	597.01
456.90	1.7810	1907.38	597.38
456.75	1.7990	1907.26	597.40
456.60	1.8180	1909.89	606.94
456.45	1.8120	1910.13	621.52
456.30	1.7860	1910.01	622.82
456.15	1.7560	1910.37	615.21
456.00	1.7340	1890.12	609.06
455.85	1.7330	1902.03	602.84
455.70	1.7340	1904.40	602.81
455.55	1.7330	1904.29	602.22
455.40	1.7190	1900.96	614.50
455.25	1.7200	1900.49	620.05
455.10	1.7270	1892.70	619.47
454.95	1.7530	1891.88	612.54
454.80	1.7690	1894.23	574.34
454.65	1.7590	1879.05	574.89
454.50	1.7190	1898.83	602.18
